AÑO|MES|CODIGO_SECTOR_N1|PROVINCIA|CANTON|VENTAS_NETAS_TARIFA_12|VENTAS_NETAS_TARIFA_0|EXPORTACIONES|COMPRAS_NETAS_TARIFA_12|COMPRAS_NETAS_TARIFA_0|IMPORTACIONES|COMPRAS_RISE|TOTAL_COMPRAS|TOTAL_VENTAS
2024|1|C|GUAYAS|SANTA LUCIA|15651,4300|4499568,4500|0,0000|299556,6100|3900516,8400|34,4300|64702,5000|4264810,3800|4515219,8800
2024|2|A|MORONA SANTIAGO|PALORA|76734,3500|1002508,8500|673909,5100|278826,8200|758861,0300|17714,1300|14602,5900|1070004,5700|1753152,7200
2024|2|A|CAÑAR|LA TRONCAL|29922,6000|1768162,8500|0,0000|216398,4300|868739,4500|3831,1500|20883,3300|1109852,3600|1798085,4500
2024|2|F|MANABI|EL CARMEN|56923,9500|32809,6800|0,0000|49590,7500|15551,9900|25000,0000|2884,5000|93027,2400|89743,6300
2024|2|H|EL ORO|ARENILLAS|13152,9200|269401,2300|0,0000|54175,6100|176077,8000|0,0000|2061,6000|232315,0100|282554,1500
2024|2|N|MORONA SANTIAGO|MORONA|222342,8300|13734,9400|0,0000|83747,7600|4830,1500|0,0000|1673,5000|90251,4100|236077,7700
2024|2|H|ZAMORA CHINCHIPE|YANTZAZA|246431,4200|3172518,4600|0,0000|537794,7200|2288421,2300|0,0000|26431,8000|2852647,7500|3418959,8800
2024|2|G|MORONA SANTIAGO|SANTIAGO|673514,1100|145162,1900|0,0000|584754,6300|141181,1200|0,0000|310,0000|726245,7500|818676,3000
2024|2|G|PICHINCHA|PEDRO VICENTE MALDONADO|1373670,7300|881205,3600|0,0000|1290595,6200|400114,0100|92374,9600|8697,1700|1791781,7600|2254876,0900
2024|2|B|PICHINCHA|PEDRO MONCAYO|7126,7600|880,0000|0,0000|8652,5600|1478,7400|0,0000|0,0000|10131,3000|8006,7700
2024|2|Q|MANABI|PORTOVIEJO|379287,8300|3088401,6100|0,0000|6372300,2300|4361416,6400|2058,6200|158383,3100|10896461,9700|3467690,4400
2024|2|C|TUNGURAHUA|CEVALLOS|315781,9800|33240,1700|0,0000|273833,2800|37456,3000|65185,7000|24701,8000|401177,0800|349022,1500
2024|2|H|EL ORO|SANTA ROSA|117708,9200|398568,8300|0,0000|262764,0200|202970,6100|0,0000|20534,4500|486269,0800|516277,7500
2024|2|C|LOS RIOS|QUEVEDO|2542369,7600|9625318,1300|616565,3600|3048737,1400|8783808,6800|592026,9800|160088,0500|12584660,8500|12784258,3500
2024|2|N|SANTA ELENA|SANTA ELENA|155102,9500|95665,0000|0,0000|154829,2300|42930,5900|0,0000|9655,2900|207415,1100|250867,9500
2024|2|G|CHIMBORAZO|PALLATANGA|260934,7600|273534,3200|0,0000|332158,3500|156596,6400|0,0000|0,0000|488754,9900|534469,0800
2024|2|O|COTOPAXI|PUJILI|6098,6500|57280,8000|0,0000|92388,3800|59807,7200|0,0000|8586,5500|160782,6500|63379,4500
2024|2|I|ESMERALDAS|ATACAMES|198481,0400|42645,1300|0,0000|105373,6700|39091,8600|0,0000|11690,8700|156156,4000|241126,3700
2024|2|C|IMBABURA|ANTONIO ANTE|1507859,1200|654868,6600|0,0000|1157451,7700|477318,4400|1635,5300|162896,0900|1799301,8300|2162727,7800
2024|2|G|GALAPAGOS|SAN CRISTOBAL|374098,9800|338425,0500|0,0000|371128,7400|231232,1300|8,9600|592,0000|602961,8300|712524,0300
2024|2|L|MANABI|BOLIVAR|38723,9500|1789,0700|0,0000|7833,6300|2279,2200|0,0000|0,0000|10112,8500|40513,0200
2024|2|I|CAÑAR|SUSCAL|40,0000|1234,0000|0,0000|30,0000|230,0000|0,0000|0,0000|260,0000|1274,0000
2024|1|M|SANTA ELENA|LA LIBERTAD|1077236,6400|283384,1600|15000,0000|1851632,1800|204465,5100|2729,6500|12760,2100|2071587,5500|1375621,0000
2024|1|S|LOJA|PUYANGO|4270,0800|11226,0200|0,0000|16451,9300|1721,9000|0,0000|3235,7500|21409,5800|15496,1100
2024|1|O|PICHINCHA|CAYAMBE|5687,3900|189912,0800|0,0000|67955,3400|9478,5200|0,0000|5027,9400|82461,8000|195599,4700
2024|1|K|MANABI|SANTA ANA|2444,1300|512846,7300|0,0000|71883,0200|45214,2200|0,0000|0,0000|117097,2400|515290,8600
2024|1|J|BOLIVAR|CALUMA|11359,2600|251,0000|0,0000|5190,8700|635,0900|0,0000|150,0000|8148,9600|11610,2600
